port_b,port_a,count_condition,count_joint,probability
21,80,9558529,7640750,0.79936463026894622
21,443,9558529,6680406,0.69889477763785623
21,143,9558529,4867284,0.5092084775805984
21,110,9558529,4857388,0.50817317183428534
21,995,9558529,4800219,0.50219223062460761
21,993,9558529,4795750,0.50172469006475784
21,25,9558529,4724223,0.49424163487917439
21,465,9558529,4462309,0.46684055674256991
21,587,9558529,4395009,0.4597997244136624
21,53,9558529,4044063,0.42308424235570141
21,3306,9558529,4019757,0.42054138246585848
21,22,9558529,3488748,0.36498795996748035
21,8443,9558529,2869871,0.30024190960763941
21,8080,9558529,2867859,0.30003141696802926
21,23,9558529,2601531,0.27216855229502362
21,6443,9558529,2586159,0.27056035505044762
21,20000,9558529,2573636,0.26925021622050843
21,1883,9558529,2568005,0.26866110883798122
21,5432,9558529,2564126,0.26825529325694364
21,8883,9558529,2554987,0.26729918379700474
21,4567,9558529,2551857,0.26697172755347609
21,1433,9558529,2542261,0.26596780738960984
21,5672,9558529,2521925,0.26384028337414678
21,5900,9558529,2512704,0.26287559518833914
21,7547,9558529,2511881,0.26278949407382662
21,30005,9558529,2505646,0.26213719705197319
21,631,9558529,2499942,0.26154045251105063
21,6379,9558529,2411299,0.25226674522826681
21,1521,9558529,2405760,0.25168726275769004
21,161,9558529,2358058,0.24669674591142632
21,49154,9558529,2281864,0.2387254356815782
21,623,9558529,2271008,0.23758969607143526
21,1723,9558529,2269842,0.23746771077432521
21,27017,9558529,2255872,0.23600618881838409
21,502,9558529,2242475,0.23460461332491642
21,102,9558529,2226615,0.23294536219956019
21,51005,9558529,2221186,0.23237738777588057
21,50805,9558529,2219728,0.23222485384518893
21,49152,9558529,2184532,0.2285426973125258
21,11211,9558529,2153300,0.22527524894259357
21,445,9558529,1905000,0.19929844853742662
22,80,15604356,8238961,0.52799109428162239
22,443,15604356,7263485,0.46547803703017288
22,21,15604356,3488748,0.22357526321496382
22,3306,15604356,3142642,0.20139517452690775
22,25,15604356,2972520,0.19049296234974389
22,993,15604356,2919986,0.18712633831219949
22,110,15604356,2883816,0.1848083958094778
22,995,15604356,2875883,0.1843000121248195
22,143,15604356,2868429,0.18382232499694315
22,465,15604356,2711160,0.17374379307931709
22,587,15604356,2673077,0.17130325660347662
22,53,15604356,2655088,0.17015043748040612
22,8080,15604356,2545274,0.16311304356296408
22,23,15604356,2334905,0.14963161568474853
22,8443,15604356,2324429,0.14896026468506615
22,5432,15604356,2091054,0.1340045048959406
22,7547,15604356,1969387,0.12620751538865174
22,1883,15604356,1964568,0.12589869136541104
22,6443,15604356,1948798,0.12488807612438475
22,6379,15604356,1944738,0.1246278923654395
22,20000,15604356,1920012,0.12304333482266105
22,5672,15604356,1908278,0.12229136530850744
22,5900,15604356,1898435,0.12166057990473943
22,8883,15604356,1898421,0.12165968271936374
22,631,15604356,1897104,0.12157528320938077
22,4567,15604356,1892878,0.12130446139526681
22,1723,15604356,1887996,0.12099160003783559
22,30005,15604356,1873823,0.12008332801430575
22,161,15604356,1864457,0.11948311099798031
22,1521,15604356,1841486,0.11801102205050949
22,27017,15604356,1832370,0.11742682620160678
22,502,15604356,1780599,0.11410909876703659
