port_number,freq
445,3224913
23,4728088
1433,3212685
21,9558529
8080,9388513
443,52311576
623,2921350
27017,3320975
5432,3717032
22,15604356
631,3182176
8883,4156118
25,8426662
51005,4387649
502,2994973
3306,6486505
5900,3352686
80,48229614
143,6357761
110,6392424
1521,3106363
53,7715436
1723,5309778
1883,3992761
995,6103464
30005,8093434
161,3469856
20000,3991465
587,6040293
993,6273091
102,2860675
49152,3923962
6379,3334018
4567,8053994
11211,2741159
50805,4554616
8443,10005230
465,5893834
6443,3701258
5672,3362033
7547,39011402
49154,3691741
