port_b,port_a,count_condition,count_joint,probability
21,80,1803132,1409084,0.78146469587362433
21,443,1803132,610458,0.33855424894017744
21,22,1803132,380124,0.21081318505799909
21,110,1803132,313282,0.17374324231392932
21,143,1803132,310753,0.17234068276754003
21,993,1803132,303994,0.16859220511864911
21,995,1803132,302157,0.1675734222452932
21,465,1803132,251317,0.13937803776983604
21,587,1803132,248272,0.13768930949037564
21,25,1803132,243685,0.13514540255510968
21,23,1803132,243012,0.13477216310286769
21,3306,1803132,224201,0.12433975992883493
21,53,1803132,99226,0.055029803697122563
21,8443,1803132,98414,0.054579476155933122
21,7547,1803132,17010,0.0094335855611236454
21,5432,1803132,14734,0.0081713374284300873
21,179,1803132,13749,0.0076250657189823037
21,445,1803132,12345,0.0068464205615562258
21,8080,1803132,9505,0.0052713833485291146
21,2000,1803132,9231,0.0051194255329060764
21,1433,1803132,7203,0.0039947158610684078
21,3389,1803132,4601,0.0025516712032175128
21,161,1803132,4569,0.0025339243050425593
21,5060,1803132,3388,0.0018789528442731869
21,8000,1803132,2104,0.0011668585550031834
21,8081,1803132,1951,0.0010820061981041875
21,631,1803132,1815,0.0010065818808606358
21,49154,1803132,1322,0.00073316873085276066
21,30005,1803132,1297,0.00071930396665357828
21,8089,1803132,945,0.00052408808672909138
21,49152,1803132,763,0.00042315260335904414
21,1883,1803132,585,0.0003244354822608661
21,6379,1803132,493,0.00027341315000787517
21,8085,1803132,391,0.00021684491207521136
21,5672,1803132,372,0.0002063076912838328
21,11211,1803132,260,0.00014419354767149605
21,8883,1803132,243,0.00013476550801605206
21,20000,1803132,232,0.00012866501176841185
21,5900,1803132,217,0.00012034615324890246
21,65535,1803132,211,0.0001170186098410987
21,4567,1803132,183,0.00010149007393801452
21,1521,1803132,180,9.9826302234112645e-05
21,51005,1803132,174,9.6498758826308887e-05
21,1723,1803132,168,9.317121541850513e-05
21,6443,1803132,164,9.0952853146635958e-05
21,62220,1803132,163,9.0398262578668672e-05
21,27017,1803132,163,9.0398262578668672e-05
21,58000,1803132,157,8.7070719170864914e-05
21,50805,1803132,154,8.5406947466963042e-05
21,53194,1803132,148,8.2079404059159285e-05
21,502,1803132,124,6.8769230427944268e-05
21,102,1803132,113,6.2668734180304053e-05
21,47808,1803132,107,5.9341190772500295e-05
21,623,1803132,103,5.7122828500631124e-05
22,80,4034826,919990,0.22801231081588152
22,443,4034826,845287,0.20949775777195845
22,21,4034826,380124,0.094210754069692218
22,30005,4034826,291413,0.072224428017465939
22,53,4034826,145179,0.035981477268164724
22,8443,4034826,110233,0.02732038506741059
22,25,4034826,98127,0.024320007851639697
22,179,4034826,92114,0.02282973293024284
22,587,4034826,82799,0.020521083189213116
22,465,4034826,78453,0.019443961152228125
22,143,4034826,69872,0.017317227558263974
22,993,4034826,68236,0.016911757780880762
22,3306,4034826,67618,0.016758591324632092
22,23,4034826,65961,0.016347916861842369
22,110,4034826,65054,0.016123124020713656
22,8080,4034826,58826,0.014579563034440643
22,995,4034826,57883,0.014345847875472202
22,7547,4034826,44099,0.01092959151150508
22,5060,4034826,23427,0.0058061983342032591
22,5432,4034826,20865,0.0051712267146092547
22,2000,4034826,20223,0.0050121120464674315
22,8081,4034826,20182,0.00500195051781663
22,161,4034826,18909,0.0046864474453173445
22,445,4034826,14820,0.0036730208440215266
22,8000,4034826,13132,0.0032546632742031503
22,11211,4034826,10429,0.0025847459097368759
22,8085,4034826,6688,0.0016575683808917659
22,1883,4034826,5256,0.0013026584046003471
22,6379,4034826,4842,0.0012000517494434703
22,3389,4034826,4781,0.0011849333775483752
22,6443,4034826,3117,0.000772524019623151
22,5672,4034826,3106,0.00076979775583878958
22,20000,4034826,2960,0.00073361280015544659
22,5900,4034826,2746,0.00068057457744150551
22,631,4034826,2486,0.00061613561526568928
22,8089,4034826,2317,0.00057425028985140872
22,8883,4034826,1441,0.00035714055575135085
22,27017,4034826,1431,0.00035466213412920411
22,49152,4034826,1228,0.00030435017519962445
22,1433,4034826,1078,0.0002671738508674228
22,4567,4034826,871,0.00021587052328898447
22,1723,4034826,748,0.00018538593733657908
22,1521,4034826,564,0.00013978297948907833
22,51005,4034826,475,0.000117725027051972
22,49154,4034826,375,9.2940810830504221e-05
22,65535,4034826,298,7.385696433997401e-05
22,50805,4034826,232,5.7499381633805273e-05
22,58000,4034826,220,5.4525275687229139e-05
22,623,4034826,200,4.9568432442935584e-05
22,502,4034826,176,4.362022054978331e-05
22,53194,4034826,154,3.8167692981060395e-05
22,62220,4034826,151,3.7424166494416364e-05
22,102,4034826,127,3.14759546012641e-05
22,47808,4034826,108,2.6766953519185214e-05
23,80,2452571,1893244,0.77194258596387222
23,21,2452571,243012,0.099084593269674962
23,22,2452571,65961,0.026894634243004586
23,443,2452571,28880,0.011775398143417663
23,53,2452571,16629,0.0067802318464990413
23,179,2452571,13531,0.005517067599673975
23,2000,2452571,8301,0.0033846114954470229
23,161,2452571,4923,0.0020072813386442226
23,7547,2452571,4299,0.0017528544535509879
23,8080,2452571,3584,0.0014613236477149898
23,30005,2452571,2137,0.00087133053436577376
23,1883,2452571,1835,0.00074819444574693251
23,8081,2452571,1335,0.00054432674935812257
23,25,2452571,1126,0.0004591100522676
23,445,2452571,1116,0.00045503269833982381
